Name,City,State,Visitors,Rating,Opening Hours,Historical,Natural,Amusement,Beach,Description
St. Michael's Mount,Cornwall,England,200000,4.8,9:30 AM - 5 PM,5,5,2,0,"A tidal island in Mount's Bay, Cornwall, England, connected to the mainland by a man-made causeway."
The Needles,Isle of Wight,England,300000,4.7,24 hours,2,5,3,0,A row of three distinctive stacks of chalk that rise out of the sea off the western extremity of the Isle of Wight.
Durham Cathedral,Durham,England,600000,4.8,10 AM - 4 PM,5,2,2,0,"A cathedral in the city of Durham, England, the seat of the Anglican Bishop of Durham."
Canterbury Cathedral,Canterbury,England,1000000,4.9,9 AM - 5 PM,5,2,2,0,One of the oldest and most famous Christian structures in England.
Chester Zoo,Chester,England,1500000,4.8,10 AM - 5:30 PM,2,5,3,0,"A zoological garden at Upton by Chester, Cheshire, England."
The Cotswolds,Gloucestershire,England,1200000,4.9,24 hours,2,5,2,0,An area in south central England containing the Cotswold Hills.
The Beatles Story,Liverpool,England,500000,4.7,9 AM - 6 PM,2,2,3,0,"An exhibition dedicated to the 1960s rock band The Beatles in Liverpool, England."
Blenheim Palace,Woodstock,England,800000,4.8,10:30 AM - 5:30 PM,5,2,2,0,"A monumental country house situated in Woodstock, Oxfordshire, England."
Tower Bridge,London,England,1000000,4.7,9:30 AM - 6 PM,5,2,3,0,A combined bascule and suspension bridge in London built between 1886 and 1894.
Wembley Stadium,London,England,2000000,4.7,10 AM - 5 PM,2,2,5,0,"A football stadium in Wembley, London, which opened in 2007, on the site of the original Wembley Stadium."
Royal Botanic Garden Edinburgh,Edinburgh,Scotland,600000,4.8,10 AM - 6 PM,2,5,2,0,"A scientific centre for the study of plants, their diversity, and conservation."
Portmeirion,Gwynedd,Wales,200000,4.8,9:30 AM - 5:30 PM,2,5,2,0,"A tourist village in Gwynedd, North Wales."
Royal Pavilion,Brighton,England,800000,4.7,9:30 AM - 5:45 PM,5,2,2,0,"A former royal residence located in Brighton, England."
The Deep,Hull,England,600000,4.7,10 AM - 6 PM,2,2,3,0,"A public aquarium situated at Sammy's Point, at the confluence of the River Hull and the Humber estuary in Hull, England."
Ben Nevis,Highland,Scotland,800000,4.9,24 hours,2,5,1,0,"The highest mountain in the British Isles, located in Scotland."
Windermere,Cumbria,England,1000000,4.8,24 hours,2,5,2,0,The largest natural lake in England.
Warwick Castle,Warwick,England,800000,4.8,10 AM - 5 PM,5,2,3,0,A medieval castle developed from an original built by William the Conqueror in 1068.
Anglesey,Isle of Anglesey,Wales,500000,4.7,24 hours,2,5,2,5,An island off the north-west coast of Wales.
Birmingham Museum and Art Gallery,Birmingham,England,1000000,4.7,10 AM - 5 PM,5,2,2,0,"A museum and art gallery in Birmingham, England."
Llandudno,Conwy,Wales,800000,4.7,24 hours,2,5,2,5,A coastal town in North Wales known for its Victorian pier and beaches.
Snowshill Manor,Gloucestershire,England,500000,4.8,11 AM - 5 PM,5,2,2,0,A National Trust property located in the village of Snowshill, Gloucestershire.
Durham Castle,Durham,England,600000,4.8,10 AM - 4 PM,5,2,2,0,"A Norman castle in the city of Durham, England, which has been wholly occupied since 1840 by University College, Durham."
Cheddar Gorge,Somerset,England,1000000,4.8,24 hours,2,5,3,0,"A limestone gorge in the Mendip Hills, near the village of Cheddar."
Bristol Zoo,Clifton,England,700000,4.7,9 AM - 5:30 PM,2,5,3,0,"A zoological garden in the city of Bristol, England."
Castle Howard,North Yorkshire,England,600000,4.8,10 AM - 5 PM,5,2,2,0,"A stately home in North Yorkshire, England, 15 miles north of York."
Yorkshire Dales National Park,North Yorkshire,England,1200000,4.9,24 hours,2,5,2,0,"A national park in the Yorkshire Dales, England."
Lake Windermere,Cumbria,England,800000,4.8,24 hours,2,5,2,0,The largest natural lake in England.
Eilean Donan Castle,Highland,Scotland,500000,4.9,10 AM - 6 PM,5,2,2,0,"A small tidal island where three sea lochs meet, Loch Duich, Loch Long, and Loch Alsh, in the western Highlands of Scotland."
Portsmouth Historic Dockyard,Portsmouth,England,1000000,4.8,10 AM - 5 PM,5,2,2,0,"A visitor attraction in Portsmouth, Hampshire, England, which is part of the HM Naval Base Portsmouth."
The Royal Mile,Edinburgh,Scotland,2000000,4.9,24 hours,5,2,2,0,A succession of streets forming the main thoroughfare of the Old Town of the city of Edinburgh in Scotland.
Tintern Abbey,Monmouthshire,Wales,300000,4.8,10 AM - 4 PM,5,2,2,0,A ruined Cistercian abbey on the Welsh bank of the River Wye.
Glenfinnan Viaduct,Highland,Scotland,500000,4.7,24 hours,5,5,1,0,"A railway viaduct on the West Highland Line in Glenfinnan, Inverness-shire, Scotland."
Beamish Museum,County Durham,England,700000,4.8,10 AM - 5 PM,5,2,2,0,A world-famous open-air museum that tells the story of life in North East England.
Hadrian's Wall Path,Northumberland,England,400000,4.8,24 hours,5,5,1,0,"A long-distance footpath in England, which runs for 84 miles from Wallsend to Bowness-on-Solway."
Dartmoor National Park,Devon,England,900000,4.9,24 hours,2,5,2,0,"A national park in southern Devon, England."
Exmoor National Park,Somerset,England,800000,4.9,24 hours,2,5,2,0,A national park situated on the Bristol Channel coast of southwestern England.
Lulworth Cove,Dorset,England,700000,4.8,24 hours,2,5,3,5,"A cove near the village of West Lulworth, on the Jurassic Coast World Heritage Site in Dorset, southern England."
Tintagel Castle,Cornwall,England,600000,4.8,10 AM - 6 PM,5,2,2,0,A medieval fortification located on the peninsula of Tintagel Island adjacent to the village of Tintagel.
Blists Hill Victorian Town,Shropshire,England,700000,4.8,10 AM - 4:30 PM,5,2,2,0,"An open-air museum built on a former industrial complex located in the Madeley area of Telford, Shropshire, England."
Lands End,Cornwall,England,1000000,4.7,24 hours,2,5,2,5,"A headland and holiday complex in western Cornwall, England."
Beaumaris Castle,Anglesey,Wales,400000,4.8,10 AM - 5 PM,5,2,2,0,"A former royal residence located in Brighton, England."
The Falkirk Wheel,Falkirk,Scotland,500000,4.7,10 AM - 5:30 PM,2,2,3,0,"A rotating boat lift in central Scotland, connecting the Forth and Clyde Canal with the Union Canal."
Ben Nevis Visitor Centre,Highland,Scotland,300000,4.8,8:30 AM - 6:30 PM,2,5,1,0,"The highest mountain in the British Isles, located in Scotland."
National Railway Museum,York,England,800000,4.9,10 AM - 6 PM,5,2,2,0,"A museum in York forming part of the Science Museum Group, which tells the story of rail transport in Britain and its impact on society."
Royal Botanic Gardens,"Kew,Richmond",England,1100000,4.8,10 AM - 6 PM,2,5,2,0,"A botanical garden in southwest London that houses the largest and most diverse botanical and mycological collections in the world."
Coventry Cathedral,Coventry,England,600000,4.8,10 AM - 4 PM,5,2,2,0,The seat of the Bishop of Coventry and the Diocese of Coventry.
Stirling Castle,Stirling,Scotland,500000,4.7,9:30 AM - 5 PM,5,2,2,0,One of the largest and most important castles in Scotland.
Clifton Suspension Bridge,Bristol,England,600000,4.8,24 hours,5,2,2,0,"A world-famous suspension bridge spanning the Avon Gorge and the River Avon, linking Clifton in Bristol to Leigh Woods in North Somerset."
Beatrix Potter's Hill Top,Near Sawrey,England,500000,4.8,10 AM - 5 PM,5,2,2,0,"A 17th-century house in Near Sawrey near Hawkshead, in Cumbria, England, once the home of Beatrix Potter."
Tate Modern,London,England,5000000,4.8,10 AM - 6 PM,5,2,2,0,"A modern art gallery located in London, England."
Arundel Castle,West Sussex,England,500000,4.7,10 AM - 5 PM,5,2,2,0,"A restored and remodelled medieval castle in Arundel, West Sussex, England."
The Royal Observatory,Greenwich,England,400000,4.8,10 AM - 5 PM,5,2,2,0,"An observatory situated on a hill in Greenwich Park, overlooking the River Thames."
M Shed,Bristol,England,300000,4.7,10 AM - 5 PM,5,2,2,0,"A museum located on Prince's Wharf beside the Floating Harbour in Bristol, England."
V&A Museum of Childhood,London,England,300000,4.7,10 AM - 5:45 PM,5,2,2,0,"A branch of the Victoria and Albert Museum, which houses the United Kingdom's national collection of childhood objects, including toys, games, and clothing."
Somerset House,London,England,800000,4.8,10 AM - 6 PM,5,2,2,0,"A large Neoclassical building situated on the south side of the Strand in central London, overlooking the River Thames."
The Castle Museum,York,England,400000,4.8,9:30 AM - 5 PM,5,2,2,0,"A museum located in the city of York, England, housed in a former prison and known for its recreated Victorian street."
HMS Victory,Portsmouth,England,700000,4.8,10 AM - 5:30 PM,5,2,2,0,"A 104-gun first-rate ship of the line of the Royal Navy, ordered in 1758, laid down in 1759, and launched in 1765."
Aira Force Waterfall,Penrith,England,300000,4.8,9 AM - 5 PM,2,5,3,0,"An area of about 40,000 interlocking basalt columns, the result of an ancient volcanic fissure eruption."
Skara Brae,Orkney,Scotland,200000,4.8,10 AM - 5 PM,5,2,2,0,"A stone-built Neolithic settlement, located on the Bay of Skaill on the west coast of Mainland, the largest island in the Orkney archipelago of Scotland."
Drayton Manor Theme Park,Tamworth,England,700000,4.8,10:30 AM - 5 PM,2,2,5,0,"A theme park resort and zoo in Staffordshire, England, known for its rides and attractions."
