Name,City,State,Visitors,Rating,Opening Hours,Historical,Natural,Amusement,Beach,Description
Kudremukh,Kudremukh,Karnataka,90000,4.6,6:00 AM - 6:00 PM,3,5,3,0,A mountain range known for its scenic beauty and trekking routes.
Kemmangundi,Kemmangundi,Karnataka,80000,4.4,6:00 AM - 6:00 PM,2,5,2,0,A hill station known for its coffee plantations and pleasant weather.
Agumbe,Agumbe,Karnataka,75000,4.3,24 hours,2,5,2,0,A village known for its rainforest and biodiversity.
Chitradurga Fort,Chitradurga,Karnataka,70000,4.5,6:00 AM - 6:00 PM,5,2,1,0,A fort known for its historical significance and architecture.
Anshi National Park,Karwar,Karnataka,65000,4.4,6:00 AM - 6:00 PM,2,5,2,0,A national park known for its diverse wildlife and natural beauty.
Ramanagara,Ramanagara,Karnataka,60000,4.3,6:00 AM - 6:00 PM,1,4,2,0,A town known for its rock climbing and scenic beauty.
Savandurga,Savandurga,Karnataka,55000,4.4,6:00 AM - 6:00 PM,2,4,2,0,A hill known for its monolithic rock and trekking trails.
Horanadu,Horanadu,Karnataka,50000,4.6,6:00 AM - 10:00 PM,3,5,2,0,A town known for its temple dedicated to Goddess Annapoorneshwari.
Udupi Sri Krishna Matha,Udupi,Karnataka,45000,4.5,5:00 AM - 9:30 PM,5,3,2,0,A temple town known for its temple dedicated to Lord Krishna.
Kukke Subramanya Temple,Kukke Subramanya,Karnataka,40000,4.5,6:00 AM - 6:00 PM,5,3,2,0,A temple town known for its temple dedicated to Lord Subramanya.
Somnathpur Temple,Somnathpur,Karnataka,35000,4.4,6:00 AM - 6:00 PM,5,3,1,0,A town known for its ancient temple dedicated to Lord Keshava.
Bandipur National Park,Chamarajanagar,Karnataka,30000,4.3,6:00 AM - 6:00 PM,2,5,2,0,A national park known for its tiger reserve and wildlife.
Gavi Gangadhareshwara Temple,Bangalore,Karnataka,25000,4.4,6:00 AM - 6:00 PM,5,2,1,0,"A cave temple in Bangalore, known for its rock-cut architecture."

Munnar,Munnar,Kerala,2000000,4.6,24 hours,2,5,2,0,A popular hill station known for its tea gardens and scenic beauty.
Alleppey Backwaters,Alleppey,Kerala,1800000,4.5,24 hours,3,5,3,0,"A network of serene canals and lagoons, known for houseboat cruises."
Kumarakom,Kumarakom,Kerala,1500000,4.5,24 hours,3,5,2,0,A village known for its backwater tourism and bird sanctuary.
Thekkady,Thekkady,Kerala,1200000,4.5,6:00 AM - 6:00 PM,2,4,3,0,A town known for its wildlife sanctuary and spice plantations.
Wayanad,Wayanad,Kerala,1000000,4.5,24 hours,3,5,2,0,"A district known for its waterfalls, caves, and wildlife."
Kochi Fort,Kochi,Kerala,900000,4.4,9:30 AM - 5:00 PM,5,3,3,0,"A historic fort in Kochi, known for its colonial architecture."
Varkala Beach,Varkala,Kerala,850000,4.6,24 hours,2,5,3,5,A coastal town known for its cliffs and beach.
Bekal Fort,Bekal,Kerala,800000,4.5,8:00 AM - 6:00 PM,5,3,2,0,"A historic fort in Kasaragod, known for its scenic location."
Athirapally Waterfalls,Athirapally,Kerala,750000,4.5,8:00 AM - 5:00 PM,2,5,3,0,A waterfall located in the Chalakudy River.
Sree Padmanabhaswamy Temple,Thiruvananthapuram,Kerala,700000,4.7,3:30 AM - 7:30 PM,5,3,2,0,"A Hindu temple in Thiruvananthapuram, known for its rich history."
Poovar Island,Poovar,Kerala,650000,4.4,24 hours,2,5,3,5,A coastal village known for its golden sand beaches.
Kovalam Beach,Kovalam,Kerala,600000,4.5,24 hours,2,5,3,5,A popular beach town near Thiruvananthapuram.
Periyar Wildlife Sanctuary,Thekkady,Kerala,550000,4.4,6:00 AM - 6:00 PM,2,5,3,0,A wildlife sanctuary located in Thekkady.
Vagamon,Vagamon,Kerala,500000,4.5,24 hours,2,5,2,0,A hill station known for its meadows and tea gardens.
Ponmudi,Ponmudi,Kerala,450000,4.4,24 hours,2,5,2,0,A hill station known for its natural beauty.
Silent Valley National Park,Silent Valley,Kerala,400000,4.5,6:00 AM - 6:00 PM,3,5,2,0,A national park known for its tropical rainforest.
Thrissur Pooram,Thrissur,Kerala,350000,4.6,6:00 AM - 6:00 PM,4,2,3,0,An annual Hindu festival held in Thrissur.
Guruvayur Temple,Guruvayur,Kerala,300000,4.7,3:00 AM - 9:15 PM,5,2,2,0,"A Hindu temple in Guruvayur, known for its elephant sanctuary."
Munroe Island,Munroe Island,Kerala,250000,4.5,24 hours,3,5,2,0,An island located in the Ashtamudi Lake.
Ashtamudi Lake,Ashtamudi,Kerala,200000,4.4,24 hours,3,5,2,0,"A large lake in Kollam, known for its houseboat cruises."
Nelliampathy,Nelliampathy,Kerala,150000,4.5,24 hours,2,5,2,0,A hill station known for its tea and coffee plantations.
Malampuzha Dam,Palakkad,Kerala,100000,4.3,9:00 AM - 5:00 PM,2,3,2,0,A dam and garden located in Palakkad.
Thiruvananthapuram Zoo,Thiruvananthapuram,Kerala,90000,4.2,9:00 AM - 5:15 PM,2,3,2,0,A zoo located in Thiruvananthapuram.
Cherai Beach,Cherai,Kerala,80000,4.5,24 hours,2,5,2,5,"A beach located in Cherai, known for its golden sand."
Edakkal Caves,Wayanad,Kerala,70000,4.3,8:00 AM - 4:00 PM,3,3,2,0,A prehistoric rock shelter located in Wayanad.
Marari Beach,Alappuzha,Kerala,60000,4.4,24 hours,2,5,2,5,"A beach located in Alappuzha, known for its scenic beauty."
Anamudi Peak,Munnar,Kerala,50000,4.5,24 hours,3,5,2,0,"The highest peak in Kerala, located in the Western Ghats."
Veli Tourist Village,Thiruvananthapuram,Kerala,40000,4.3,6:00 AM - 6:00 PM,2,3,2,5,A tourist village located in Thiruvananthapuram.
Kottayam,Kottayam,Kerala,30000,4.4,24 hours,3,5,2,0,A city known for its rubber plantations.
Kuttanad,Kuttanad,Kerala,25000,4.5,24 hours,3,5,2,0,A region known for its backwaters and paddy fields.

Tamil Nadu

Golconda Fort,Hyderabad,Telangana,3000000,4.5,9:00 AM - 5:30 PM,5,2,2,0,"A historic fort located in Hyderabad, known for its grandeur and architectural beauty."
Charminar,Hyderabad,Telangana,2500000,4.4,9:30 AM - 5:30 PM,5,2,2,0,An iconic monument and mosque located in Hyderabad.
Ramoji Film City,Hyderabad,Telangana,1800000,4.3,9:00 AM - 7:30 PM,2,3,5,0,"The world's largest film city located in Hyderabad, offering various entertainment options."
Birla Mandir,Hyderabad,Telangana,1500000,4.4,"7:00 AM - 12:00 PM, 3:00 PM - 9:00 PM",3,2,2,0,"A famous Hindu temple located in Hyderabad, known for its white marble structure."
Salar Jung Museum,Hyderabad,Telangana,1200000,4.4,10:00 AM - 5:00 PM,4,2,2,0,"One of the largest museums in India, located in Hyderabad."
Nehru Zoological Park,Hyderabad,Telangana,1000000,4.2,8:00 AM - 5:30 PM,2,4,3,0,"A popular zoo located in Hyderabad, known for its diverse collection of animals."
Chowmahalla Palace,Hyderabad,Telangana,900000,4.3,10:00 AM - 5:00 PM,4,2,2,0,"A palace located in Hyderabad, known for its stunning architecture."
Hussain Sagar Lake,Hyderabad,Telangana,850000,4.1,24 hours,2,4,3,0,"A large artificial lake in Hyderabad, popular for boating and other activities."
Qutub Shahi Tombs,Hyderabad,Telangana,800000,4.3,9:30 AM - 5:30 PM,4,2,2,0,"A historical site in Hyderabad, featuring the tombs of the Qutub Shahi dynasty."
Lumbini Park,Hyderabad,Telangana,750000,4.2,9:00 AM - 8:00 PM,2,3,4,0,"A park located in Hyderabad, known for its musical fountain and laser show."
Snow World,Hyderabad,Telangana,700000,4.1,11:00 AM - 9:00 PM,2,3,5,0,An indoor snow theme park located in Hyderabad.
KBR National Park,Hyderabad,Telangana,650000,4.3,"5:30 AM - 10:00 AM, 4:30 PM - 7:00 PM",3,5,2,0,"A national park located in Hyderabad, known for its diverse flora and fauna."
Purani Haveli,Hyderabad,Telangana,600000,4.1,10:30 AM - 5:00 PM,4,2,2,0,A historical palace located in Hyderabad.
Taramati Baradari,Hyderabad,Telangana,550000,4.0,11:00 AM - 6:00 PM,4,3,3,0,A historical pavilion located in Hyderabad.
Shilparamam,Hyderabad,Telangana,500000,4.2,10:30 AM - 8:00 PM,2,3,4,0,"A cultural village located in Hyderabad, showcasing the arts and crafts of Telangana."
Mecca Masjid,Hyderabad,Telangana,450000,4.4,"8:00 AM - 12:00 PM, 3:00 PM - 8:00 PM",5,2,2,0,A grand mosque located in Hyderabad.
Birla Planetarium,Hyderabad,Telangana,400000,4.1,10:30 AM - 8:00 PM,2,3,4,0,"A planetarium located in Hyderabad, offering astronomical shows."
Mrugavani National Park,Hyderabad,Telangana,350000,4.0,9:00 AM - 5:00 PM,2,5,2,0,"A national park located in Hyderabad, known for its wildlife."
Mahavir Harina Vanasthali National Park,Hyderabad,Telangana,300000,4.1,9:00 AM - 5:00 PM,3,5,2,0,"A national park located in Hyderabad, known for its deer population."
Keesaragutta Temple,Keesara,Telangana,250000,4.3,"6:00 AM - 12:30 PM, 4:00 PM - 8:30 PM",4,2,2,0,"A temple located in Keesara, known for its ancient architecture."
Ananthagiri Hills,Vikarabad,Telangana,200000,4.2,24 hours,3,5,2,0,"A hill station located near Hyderabad, known for its scenic beauty."
Pocharam Wildlife Sanctuary,Medak,Telangana,150000,4.0,6:00 AM - 6:00 PM,2,5,2,0,A wildlife sanctuary located near Hyderabad.
Medak Fort,Medak,Telangana,100000,4.1,10:00 AM - 5:00 PM,5,3,2,0,A historic fort located in Medak.
Bhongir Fort,Bhongir,Telangana,90000,4.2,10:00 AM - 5:00 PM,4,3,2,0,A historic fort located in Bhongir.
Warangal Fort,Warangal,Telangana,85000,4.3,10:00 AM - 5:00 PM,5,2,2,0,A historic fort located in Warangal.
Pakhal Lake,Warangal,Telangana,80000,4.1,24 hours,3,5,2,0,"A lake located near Warangal, known for its scenic beauty."
Khammam Fort,Khammam,Telangana,75000,4.0,10:00 AM - 5:00 PM,4,2,2,0,A historic fort located in Khammam.
Alampur,Alampur,Telangana,70000,4.2,"5:30 AM - 1:00 PM, 3:00 PM - 8:30 PM",4,3,2,0,A temple town located in Alampur.
Bhadrachalam,Bhadrachalam,Telangana,65000,4.1,4:00 AM - 9:00 PM,3,3,2,0,A temple town located in Bhadrachalam.
Basara,Basara,Telangana,60000,4.3,4:00 AM - 9:00 PM,3,3,2,0,A temple town known for its Saraswati temple.
