name,visits,rating,state,country
Pulicat Lake,200000,4.1,Tamil Nadu,India
Gangaikonda Cholapuram,250000,4.7,Tamil Nadu,India

Golconda Fort,3000000,4.5,Telangana,India
Charminar,2500000,4.4,Telangana,India
Ramoji Film City,1800000,4.3,Telangana,India
Birla Mandir,1500000,4.4,Telangana,India
Salar Jung Museum,1200000,4.4,Telangana,India
Nehru Zoological Park,1000000,4.2,Telangana,India
Chowmahalla Palace,900000,4.3,Telangana,India
Hussain Sagar Lake,850000,4.1,Telangana,India
Qutub Shahi Tombs,800000,4.3,Telangana,India
Lumbini Park,750000,4.2,Telangana,India
Snow World,700000,4.1,Telangana,India
KBR National Park,650000,4.3,Telangana,India
Purani Haveli,600000,4.1,Telangana,India
Taramati Baradari,550000,4.0,Telangana,India
Shilparamam,500000,4.2,Telangana,India
Mecca Masjid,450000,4.4,Telangana,India
Birla Planetarium,400000,4.1,Telangana,India
Mrugavani National Park,350000,4.0,Telangana,India
Mahavir Harina Vanasthali National Park,300000,4.1,Telangana,India
Keesaragutta Temple,250000,4.3,Telangana,India
Ananthagiri Hills,200000,4.2,Telangana,India
Pocharam Wildlife Sanctuary,150000,4.0,Telangana,India
Medak Fort,100000,4.1,Telangana,India
Bhongir Fort,90000,4.2,Telangana,India
Warangal Fort,85000,4.3,Telangana,India
Pakhal Lake,80000,4.1,Telangana,India
Khammam Fort,75000,4.0,Telangana,India
Alampur,70000,4.2,Telangana,India
Bhadrachalam,65000,4.1,Telangana,India
Basara,60000,4.3,Telangana,India

Kingdom of Dreams,1800000,4.5,Haryana,India
Sultanpur National Park,1000000,4.4,Haryana,India
Kurukshetra,800000,4.5,Haryana,India
Pinjore Gardens,600000,4.4,Haryana,India
Morni Hills,400000,4.3,Haryana,India
Firoz Shah Palace Complex,200000,4.2,Haryana,India
Badkhal Lake,300000,4.3,Haryana,India
Surajkund,500000,4.4,Haryana,India
Brahma Sarovar,600000,4.5,Haryana,India
Cactus Garden,400000,4.4,Haryana,India
Yadavindra Gardens,500000,4.5,Haryana,India
Kaithal,300000,4.3,Haryana,India
Panchkula,400000,4.4,Haryana,India
Sohna,500000,4.5,Haryana,India
Tilyar Lake,600000,4.4,Haryana,India
Blue Bird Lake,300000,4.3,Haryana,India
Ch. Devi Lal Herbal Nature Park,400000,4.4,Haryana,India
Kalesar National Park,200000,4.2,Haryana,India
Karna Lake,300000,4.3,Haryana,India
Krishna Museum,400000,4.4,Haryana,India
Bhindawas Wildlife Sanctuary,300000,4.3,Haryana,India
Dhosi Hill,200000,4.2,Haryana,India
Pataudi Palace,300000,4.3,Haryana,India
Nahar Singh Palace,400000,4.4,Haryana,India
Asigarh Fort,300000,4.3,Haryana,India
Cantonment Church Tower,200000,4.2,Haryana,India
Star Monument,300000,4.3,Haryana,India
Rani Ka Talab,400000,4.4,Haryana,India
Loharu Fort,300000,4.3,Haryana,India
Feroz Shah Tughlaq Fort,200000,4.2,Haryana,India

Dal Lake,2000000,4.7,Jammu and Kashmir,India
Gulmarg,1500000,4.6,Jammu and Kashmir,India
Pahalgam,1200000,4.5,Jammu and Kashmir,India
Sonamarg,800000,4.6,Jammu and Kashmir,India
Vaishno Devi Temple,8000000,4.8,Jammu and Kashmir,India
Hemis Monastery,300000,4.6,Jammu and Kashmir,India
Shankaracharya Temple,400000,4.5,Jammu and Kashmir,India
Nubra Valley,500000,4.7,Jammu and Kashmir,India
Betaab Valley,600000,4.6,Jammu and Kashmir,India
Amarnath Cave,1000000,4.8,Jammu and Kashmir,India
Pangong Lake,1200000,4.7,Jammu and Kashmir,India
Shalimar Bagh,800000,4.6,Jammu and Kashmir,India
Nishat Bagh,700000,4.5,Jammu and Kashmir,India
Dachigam National Park,500000,4.6,Jammu and Kashmir,India
Indira Gandhi Memorial Tulip Garden,600000,4.7,Jammu and Kashmir,India
Mughal Road,400000,4.6,Jammu and Kashmir,India
Bhaderwah,300000,4.5,Jammu and Kashmir,India
Yusmarg,200000,4.4,Jammu and Kashmir,India
Sinthan Top,100000,4.3,Jammu and Kashmir,India
Aharbal Waterfall,300000,4.5,Jammu and Kashmir,India
Patnitop,700000,4.6,Jammu and Kashmir,India
Manasbal Lake,400000,4.5,Jammu and Kashmir,India
Sheeshnag Lake,200000,4.4,Jammu and Kashmir,India
Hari Parbat,300000,4.5,Jammu and Kashmir,India
Lamayuru Monastery,500000,4.6,Jammu and Kashmir,India
Surinsar Lake,600000,4.7,Jammu and Kashmir,India
Tso Moriri Lake,200000,4.5,Jammu and Kashmir,India
Dras War Memorial,100000,4.6,Jammu and Kashmir,India
Kheer Bhawani Temple,300000,4.5,Jammu and Kashmir,India
Sanasar Lake,400000,4.4,Jammu and Kashmir,India

Golden Temple,10000000,4.9,Punjab,India
Jallianwala Bagh,3000000,4.7,Punjab,India
Wagah Border,2500000,4.6,Punjab,India
Rock Garden of Chandigarh,1200000,4.5,Punjab,India
Sukhna Lake,1000000,4.4,Punjab,India
Anandpur Sahib,500000,4.6,Punjab,India
Durgiana Temple,700000,4.5,Punjab,India
Harike Wetland and Bird Sanctuary,300000,4.4,Punjab,India
Maharaja Ranjit Singh Museum,500000,4.5,Punjab,India
Partition Museum,400000,4.6,Punjab,India
Pushpa Gujral Science City,600000,4.5,Punjab,India
Virasat-e-Khalsa,700000,4.6,Punjab,India
Bathinda Fort,500000,4.5,Punjab,India
Sheesh Mahal,300000,4.4,Punjab,India
Quila Mubarak,400000,4.3,Punjab,India
Rose Garden,500000,4.6,Punjab,India
Ranjit Sagar Dam,600000,4.5,Punjab,India
Ram Tirath,300000,4.4,Punjab,India
Talwandi Sabo,400000,4.5,Punjab,India
Sirhind Fort,200000,4.3,Punjab,India
Faridkot Fort,300000,4.4,Punjab,India
Fateh Burj,400000,4.5,Punjab,India
Gurudwara Baba Atal Rai,200000,4.3,Punjab,India
"Kali Temple, Patiala",300000,4.4,Punjab,India
Gurdwara Manji Sahib,200000,4.5,Punjab,India
Devi Talab Mandir,300000,4.6,Punjab,India
Mukteshwar Temple,100000,4.4,Punjab,India
"Shiv Mandir, Gurudwara Nanak Mata",200000,4.3,Punjab,India
Lodhi Fort,300000,4.4,Punjab,India
Maharaja Ranjit Singh War Museum,400000,4.5,Punjab,India

Taj Mahal,7000000,4.9,Uttar Pradesh,India
Agra Fort,5000000,4.8,Uttar Pradesh,India
Fatehpur Sikri,4000000,4.7,Uttar Pradesh,India
Varanasi Ghats,6000000,4.8,Uttar Pradesh,India
Kashi Vishwanath Temple,5000000,4.7,Uttar Pradesh,India
Sarnath,3000000,4.6,Uttar Pradesh,India
Allahabad Triveni Sangam,4000000,4.7,Uttar Pradesh,India
Jhansi Fort,3000000,4.6,Uttar Pradesh,India
Rumi Darwaza,2000000,4.8,Uttar Pradesh,India
Lucknow Residency,1000000,4.7,Uttar Pradesh,India
Bara Imambara,2000000,4.6,Uttar Pradesh,India
Akbar's Tomb,1500000,4.7,Uttar Pradesh,India
Chitrakoot,1400000,4.8,Uttar Pradesh,India
Banke Bihari Temple,1300000,4.6,Uttar Pradesh,India
"Prem Mandir, Vrindavan",1200000,4.7,Uttar Pradesh,India
Bharat Mata Mandir,1100000,4.8,Uttar Pradesh,India
Dudhwa National Park,1000000,4.6,Uttar Pradesh,India
Mathura,900000,4.7,Uttar Pradesh,India
Ayodhya,800000,4.8,Uttar Pradesh,India
Sankat Mochan Hanuman Temple,700000,4.6,Uttar Pradesh,India
Kanpur Memorial Church,600000,4.7,Uttar Pradesh,India
Kakori,500000,4.6,Uttar Pradesh,India
Vindhyachal,400000,4.7,Uttar Pradesh,India
Hastinapur,300000,4.6,Uttar Pradesh,India
Naimisaranya,200000,4.8,Uttar Pradesh,India
Sarnath Museum,150000,4.7,Uttar Pradesh,India
Govardhan Hill,100000,4.8,Uttar Pradesh,India
Ramnagar Fort,90000,4.6,Uttar Pradesh,India
Sikandra,80000,4.7,Uttar Pradesh,India
Itmad-ud-Daula,70000,4.6,Uttar Pradesh,India

Gateway of India,7000000,4.8,Maharashtra,India
Ajanta Caves,6000000,4.7,Maharashtra,India
Ellora Caves,5000000,4.8,Maharashtra,India
Elephanta Caves,4000000,4.7,Maharashtra,India
Chhatrapati Shivaji Terminus,3000000,4.6,Maharashtra,India
Marine Drive,2000000,4.8,Maharashtra,India
Shaniwar Wada,1000000,4.7,Maharashtra,India
Mahabaleshwar,900000,4.8,Maharashtra,India
Lonavala,800000,4.7,Maharashtra,India
Siddhivinayak Temple,700000,4.6,Maharashtra,India
Haji Ali Dargah,600000,4.8,Maharashtra,India
Alibaug,500000,4.7,Maharashtra,India
Sinhagad Fort,400000,4.8,Maharashtra,India
Bibi Ka Maqbara,300000,4.7,Maharashtra,India
Kanheri Caves,200000,4.8,Maharashtra,India
Chikhaldara,100000,4.7,Maharashtra,India
Panchgani,90000,4.8,Maharashtra,India
Tadoba Andhari Tiger Reserve,80000,4.7,Maharashtra,India
Rajmachi Fort,70000,4.8,Maharashtra,India
Bhimashankar Temple,60000,4.7,Maharashtra,India
Pratapgad Fort,50000,4.8,Maharashtra,India
Aga Khan Palace,40000,4.7,Maharashtra,India
Elephanta Island,30000,4.8,Maharashtra,India
Lavasa,20000,4.7,Maharashtra,India
Nashik Vineyards,10000,4.8,Maharashtra,India
Aurangabad Caves,9000,4.7,Maharashtra,India
Karnala Bird Sanctuary,8000,4.8,Maharashtra,India
Hanging Gardens,7000,4.7,Maharashtra,India
Worli Sea Face,6000,4.8,Maharashtra,India
EsselWorld,5000,4.7,Maharashtra,India
